token,timestamp,iterations,elapsedtime,averagetime
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),5,24236,1156
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),5,24238,1156
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),4,24239,1330.75
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),4,24239,1330.75
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),4,24240,1331
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),4,24240,1331
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),4,24240,1331.25
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),4,24241,1331.25
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),5,24237,1156
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),5,24237,1156
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),5,24238,1156.2
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24500,952.6666666666666
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),7,24499,816.5714285714286
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),7,24498,817.4285714285714
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),7,24498,816.4285714285714
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24499,864.6666666666666
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24499,865.1666666666666
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24500,865.3333333333334
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24499,865.3333333333334
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24499,865.5
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24499,865.6666666666666
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24500,865.8333333333334
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24499,865.8333333333334
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24499,866
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24499,866.1666666666666
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24500,866.1666666666666
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24500,866.3333333333334
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24499,866.3333333333334
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24500,866.5
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24499,864.8333333333334
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24500,866.6666666666666
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24500,866.8333333333334
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24501,867
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24501,867
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24501,867.1666666666666
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24500,867.1666666666666
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24501,867.3333333333334
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24501,867.3333333333334
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24501,867.5
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24502,867.6666666666666
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24502,867.6666666666666
